,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,Assoc,,Addl,Earthquake Location,,,Earthquake Parameters,,,Earthquake Effects,,,,,,,,,,,,"Total Effects (Earthquake and Tsunami, Volcano, etc.)",,,,,,,,,,,
,,,,,,,,EQ,,,,Focal,Mag,MMI Int,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,
,,,,,,,,Info,,,,Depth,,,,,,,,,,,Destroyed,,Damaged,,,,,,,,,,Destroyed,,Damaged,
Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,,Name,Latitude,Longitude,,,,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De
1871,12,23,,,,,,*,IRAN: QUCHAN,37.3,58.3,15,5.6,7,2000,4,,,,,,3,,,,,,,,,,,,,,,,
1872,1,6,,,,,,*,IRAN: QUCHAN,37.3,58.3,15,6.3,7,4000,4,,,,,,3,,,,,,,,,,,,,,,,
1872,1,28,7,,,,,*,AZERBAIJAN: SHEMAKHA (SEMACHA),40.6,48.7,7,5.7,10,,,,,,,,3,,,,,,,,,,,,3,,,,
1872,12,26,13,40,,,,*,"UKRAINE: CARPATHIANS: DOLGE, MARAMOROSH PROVINCE",48.4,23.3,5,4.3,7,,,,,,,,2,,,,,,,,,,,,,,,,
1875,5,18,16,25,,,,*,"COLOMBIA: CUCUTA,SAN CAYETANO,VILLA DEL ROSARIO",7.9,-72.5,20,7.5,10,1001,4,,,,,,3,,3,,,1001,4,,,,,,3,,3,,
1875,7,25,4,28,,,,*,UKRAINE: CRIMEA: SEVASTOPOL,44.5,33.4,9,5.2,9,,,,,,3,,2,,,,3,,,,,,3,,2,,,,3
1876,5,28,,,,Tsu,,*,"INDONESIA: BURU ISLAND, CERAM SEA",-3,127.25,50,6.8,7,,,,,,,,1,,,,3,,,,,,,,1,,,,3
1877,5,10,0,59,,Tsu,,*,CHILE: OFF NORTH COAST,-21.5,-70.5,40,8.3,11,103,2,,,,,1.6,2,,3,,,2385,4,,,,,,3,,3,,
1878,1,23,12,5,,Tsu,,*,CHILE: TARAPACA,-19.92,-70.335,40,7.9,8,,1,,,,,,3,,3,,,,1,,,,,,3,,3,,
1878,4,12,0,41,,,,*,"VENEZUELA: CUA, CHARALLAVE, SAN DIEGO",10.3,-66.8,13,5.9,9,400,3,,,,,,3,,,,,400,3,,,,,,3,,,,
1879,4,2,,,,,,*,IRAN: BOJNURD,37.5,57.4,15,6.7,9,700,3,,,,,,3,,,,,,,,,,,,,,,,
1880,7,18,4,40,,Tsu,,*,"PHILIPPINES: S COAST LUZON: PASIG RIVER,PAMPANGA",16,121.85,100,7.5,9,20,1,,,50,1,,3,,3,,,20,1,,,50,1,,3,,3,,
1882,7,17,7,51,,,,*,BALKANS NW: SLOVENIA: LJUBLJANA: W,46,14.2,12,4.8,7,,,,,,,,2,,,,,,,,,,,,,,,,
1885,5,1,,,,,,*,RUSSIA: CAUCASUS,41.9,47.8,3,4,7,,,,,,,,2,,,,,,,,,,,,,,,,
1885,8,2,21,20,,,,*,KYRGYZSTAN: BELOVODSKOJE,42.7,74.1,15,6.9,10,54,2,,,,,,2,,,,,,,,,,,,,,,,
1887,6,8,23,35,,,,*,KAZAKHSTAN: VERNENSK,43.1,76.8,20,7.3,10,,,,,,,,2,,,,,,,,,,,,,,,,
1890,7,11,7,55,,Tsu,,*,"IRAN: TASH, ASTRABAD (GORGAN), BASTAM, SHAKHRUD",36.6,54.6,10,7.2,10,171,3,,,,,,3,,3,,,171,3,,,,,,3,,3,,
1894,3,22,10,23,,Tsu,,*,JAPAN: OFF COAST OF HONSHU,42.5,146,40,7.9,9,1,1,,,6,1,,1,14,1,87,2,1,1,,,6,1,,2,,,99,2
1894,4,29,2,45,,,,*,"VENEZUELA: MERIDA,TOVAR; COLOMBIA: N SANTANDER",8.5,-71.7,20,8.2,9,400,3,,,,,,,,,,,,,,,,,,,,,,
